;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 12/30/2020 7:43:18 PM
;----------------------------------------------

;Address Opcode 	ASM
;__Lib_MathDouble.c,95 :: 		
0x017B	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,96 :: 		
SETFOV32EEE:
;__Lib_MathDouble.c,97 :: 		
0x017C	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,99 :: 		
L_end_SETFOV32:
0x017D	0x0008      	RETURN
; end of _SETFOV32
_Delay_22us:
;__Lib_Delays.c,15 :: 		void Delay_22us() {
;__Lib_Delays.c,16 :: 		Delay_us(22);
0x017E	0x300E      	MOVLW      14
0x017F	0x1283      	BCF        STATUS, 5
0x0180	0x1303      	BCF        STATUS, 6
0x0181	0x00FD      	MOVWF      R13
L_Delay_22us1:
0x0182	0x0BFD      	DECFSZ     R13, 1
0x0183	0x2982      	GOTO       L_Delay_22us1
0x0184	0x0000      	NOP
;__Lib_Delays.c,17 :: 		}
L_end_Delay_22us:
0x0185	0x0008      	RETURN
; end of _Delay_22us
_SETFDZ32:
;__Lib_MathDouble.c,102 :: 		
;__Lib_MathDouble.c,105 :: 		
0x0186	0x15FB      	BSF        R11, 3
;__Lib_MathDouble.c,106 :: 		
0x0187	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,108 :: 		
L_end_SETFDZ32:
0x0188	0x0008      	RETURN
; end of _SETFDZ32
_SETIOV3224:
;__Lib_MathDouble.c,1000 :: 		
;__Lib_MathDouble.c,1006 :: 		
0x0189	0x147B      	BSF        R11, 0
;__Lib_MathDouble.c,1007 :: 		
0x018A	0x1FFB      	BTFSS      R11, 7
;__Lib_MathDouble.c,1008 :: 		
0x018B	0x2994      	GOTO       SETIOV3224EEE
;__Lib_MathDouble.c,1010 :: 		
0x018C	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1011 :: 		
0x018D	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,1012 :: 		
0x018E	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1013 :: 		
0x018F	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,1014 :: 		
0x0190	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1015 :: 		
0x0191	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1016 :: 		
0x0192	0x0DFA      	RLF        R10, 1
;__Lib_MathDouble.c,1017 :: 		
0x0193	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,1018 :: 		
SETIOV3224EEE:
;__Lib_MathDouble.c,1019 :: 		
0x0194	0x30FF      	MOVLW      255
;__Lib_MathDouble.c,1021 :: 		
L_end_SETIOV3224:
0x0195	0x0008      	RETURN
; end of _SETIOV3224
_NRM3232:
;__Lib_MathDouble.c,167 :: 		
;__Lib_MathDouble.c,173 :: 		
;__Lib_MathDouble.c,175 :: 		
0x0196	0x01A0      	CLRF       __math_tempbD
;__Lib_MathDouble.c,176 :: 		
0x0197	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,177 :: 		
0x0198	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,178 :: 		
0x0199	0x29AB      	GOTO       NORM3232
;__Lib_MathDouble.c,179 :: 		
0x019A	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,180 :: 		
0x019B	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,181 :: 		
0x019C	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,182 :: 		
0x019D	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,183 :: 		
0x019E	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,184 :: 		
0x019F	0x15A0      	BSF        __math_tempbD, 3
;__Lib_MathDouble.c,186 :: 		
0x01A0	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,187 :: 		
0x01A1	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,188 :: 		
0x01A2	0x29AB      	GOTO       NORM3232
;__Lib_MathDouble.c,189 :: 		
0x01A3	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,190 :: 		
0x01A4	0x00F2      	MOVWF      R2
;__Lib_MathDouble.c,191 :: 		
0x01A5	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,192 :: 		
0x01A6	0x11A0      	BCF        __math_tempbD, 3
;__Lib_MathDouble.c,193 :: 		
0x01A7	0x1620      	BSF        __math_tempbD, 4
;__Lib_MathDouble.c,195 :: 		
0x01A8	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,196 :: 		
0x01A9	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,197 :: 		
0x01AA	0x29B9      	GOTO       JPNRES032
;__Lib_MathDouble.c,198 :: 		
NORM3232:
;__Lib_MathDouble.c,199 :: 		
0x01AB	0x0820      	MOVF       __math_tempbD, 0
;__Lib_MathDouble.c,200 :: 		
0x01AC	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,201 :: 		
0x01AD	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,202 :: 		
0x01AE	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,203 :: 		
0x01AF	0x29BD      	GOTO       JPNSETFUN32
;__Lib_MathDouble.c,204 :: 		
0x01B0	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,205 :: 		
NORM3232A:
;__Lib_MathDouble.c,206 :: 		
0x01B1	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,207 :: 		
0x01B2	0x29C1      	GOTO       JMPNFIXSIGN32
;__Lib_MathDouble.c,208 :: 		
0x01B3	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,209 :: 		
0x01B4	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,210 :: 		
0x01B5	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,211 :: 		
0x01B6	0x0BF3      	DECFSZ     R3, 1
;__Lib_MathDouble.c,212 :: 		
0x01B7	0x29B1      	GOTO       NORM3232A
;__Lib_MathDouble.c,213 :: 		
0x01B8	0x29BD      	GOTO       JPNSETFUN32
;__Lib_MathDouble.c,214 :: 		
JPNRES032:
;__Lib_MathDouble.c,215 :: 		
0x01B9	0x3001      	MOVLW      1
;__Lib_MathDouble.c,216 :: 		
0x01BA	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,218 :: 		
0x01BB	0x20E0      	CALL       _RES032
;__Lib_MathDouble.c,220 :: 		
0x01BC	0x29C4      	GOTO       NORM32EEE
;__Lib_MathDouble.c,221 :: 		
JPNSETFUN32:
;__Lib_MathDouble.c,222 :: 		
0x01BD	0x3002      	MOVLW      2
;__Lib_MathDouble.c,223 :: 		
0x01BE	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,225 :: 		
0x01BF	0x20E7      	CALL       _SETFUN32
;__Lib_MathDouble.c,227 :: 		
0x01C0	0x29C4      	GOTO       NORM32EEE
;__Lib_MathDouble.c,228 :: 		
JMPNFIXSIGN32:
;__Lib_MathDouble.c,229 :: 		
0x01C1	0x3004      	MOVLW      4
;__Lib_MathDouble.c,230 :: 		
0x01C2	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,232 :: 		
0x01C3	0x20F3      	CALL       _FIXSIGN32
;__Lib_MathDouble.c,234 :: 		
NORM32EEE:
;__Lib_MathDouble.c,236 :: 		
L_end_NRM3232:
0x01C4	0x0008      	RETURN
; end of _NRM3232
___CC2DW:
;__Lib_System.c,134 :: 		
;__Lib_System.c,137 :: 		
_CC2D_Loop1:
;__Lib_System.c,139 :: 		
0x01C5	0x2137      	CALL       _____DoICP
0x01C6	0x118A      	BCF        PCLATH, 3
0x01C7	0x120A      	BCF        PCLATH, 4
;__Lib_System.c,141 :: 		
0x01C8	0x0080      	MOVWF      INDF
;__Lib_System.c,142 :: 		
0x01C9	0x0A84      	INCF       FSR, 1
;__Lib_System.c,143 :: 		
0x01CA	0x0AE1      	INCF       ___DoICPAddr, 1
;__Lib_System.c,145 :: 		
0x01CB	0x1903      	BTFSC      STATUS, 2
;__Lib_System.c,146 :: 		
0x01CC	0x0AE2      	INCF       ___DoICPAddr+1, 1
;__Lib_System.c,147 :: 		
0x01CD	0x03F0      	DECF       R0, 1
;__Lib_System.c,149 :: 		
0x01CE	0x1D03      	BTFSS      STATUS, 2
;__Lib_System.c,150 :: 		
0x01CF	0x29C5      	GOTO       _CC2D_Loop1
;__Lib_System.c,152 :: 		
L_end___CC2DW:
0x01D0	0x0008      	RETURN
; end of ___CC2DW
_Lcd_Out:
;__Lib_Lcd.c,184 :: 		
;__Lib_Lcd.c,187 :: 		
0x01D1	0x29E3      	GOTO       L_Lcd_Out11
;__Lib_Lcd.c,188 :: 		
L_Lcd_Out13:
0x01D2	0x3080      	MOVLW      128
0x01D3	0x1283      	BCF        STATUS, 5
0x01D4	0x1303      	BCF        STATUS, 6
0x01D5	0x00E7      	MOVWF      FARG_Lcd_Out_row
0x01D6	0x29F6      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,189 :: 		
L_Lcd_Out14:
0x01D7	0x30C0      	MOVLW      192
0x01D8	0x00E7      	MOVWF      FARG_Lcd_Out_row
0x01D9	0x29F6      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,190 :: 		
L_Lcd_Out15:
0x01DA	0x3094      	MOVLW      148
0x01DB	0x00E7      	MOVWF      FARG_Lcd_Out_row
0x01DC	0x29F6      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,191 :: 		
L_Lcd_Out16:
0x01DD	0x30D4      	MOVLW      212
0x01DE	0x00E7      	MOVWF      FARG_Lcd_Out_row
0x01DF	0x29F6      	GOTO       L_Lcd_Out12
;__Lib_Lcd.c,192 :: 		
L_Lcd_Out17:
0x01E0	0x3080      	MOVLW      128
0x01E1	0x00E7      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,193 :: 		
0x01E2	0x29F6      	GOTO       L_Lcd_Out12
L_Lcd_Out11:
0x01E3	0x1283      	BCF        STATUS, 5
0x01E4	0x1303      	BCF        STATUS, 6
0x01E5	0x0867      	MOVF       FARG_Lcd_Out_row, 0
0x01E6	0x3A01      	XORLW      1
0x01E7	0x1903      	BTFSC      STATUS, 2
0x01E8	0x29D2      	GOTO       L_Lcd_Out13
0x01E9	0x0867      	MOVF       FARG_Lcd_Out_row, 0
0x01EA	0x3A02      	XORLW      2
0x01EB	0x1903      	BTFSC      STATUS, 2
0x01EC	0x29D7      	GOTO       L_Lcd_Out14
0x01ED	0x0867      	MOVF       FARG_Lcd_Out_row, 0
0x01EE	0x3A03      	XORLW      3
0x01EF	0x1903      	BTFSC      STATUS, 2
0x01F0	0x29DA      	GOTO       L_Lcd_Out15
0x01F1	0x0867      	MOVF       FARG_Lcd_Out_row, 0
0x01F2	0x3A04      	XORLW      4
0x01F3	0x1903      	BTFSC      STATUS, 2
0x01F4	0x29DD      	GOTO       L_Lcd_Out16
0x01F5	0x29E0      	GOTO       L_Lcd_Out17
L_Lcd_Out12:
;__Lib_Lcd.c,194 :: 		
0x01F6	0x0368      	DECF       FARG_Lcd_Out_column, 0
0x01F7	0x00F0      	MOVWF      R0
0x01F8	0x0867      	MOVF       FARG_Lcd_Out_row, 0
0x01F9	0x07F0      	ADDWF      R0, 1
0x01FA	0x0870      	MOVF       R0, 0
0x01FB	0x00E7      	MOVWF      FARG_Lcd_Out_row
;__Lib_Lcd.c,196 :: 		
0x01FC	0x0870      	MOVF       R0, 0
0x01FD	0x00EC      	MOVWF      FARG_Lcd_Cmd_out_char
0x01FE	0x20F7      	CALL       _Lcd_Cmd
;__Lib_Lcd.c,197 :: 		
0x01FF	0x1065      	BCF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,198 :: 		
0x0200	0x01EA      	CLRF       Lcd_Out_i_L0
;__Lib_Lcd.c,199 :: 		
L_Lcd_Out18:
0x0201	0x086A      	MOVF       Lcd_Out_i_L0, 0
0x0202	0x0769      	ADDWF      FARG_Lcd_Out_text, 0
0x0203	0x0084      	MOVWF      FSR
0x0204	0x0800      	MOVF       INDF, 0
0x0205	0x1903      	BTFSC      STATUS, 2
0x0206	0x2A0F      	GOTO       L_Lcd_Out19
;__Lib_Lcd.c,200 :: 		
0x0207	0x086A      	MOVF       Lcd_Out_i_L0, 0
0x0208	0x0769      	ADDWF      FARG_Lcd_Out_text, 0
0x0209	0x0084      	MOVWF      FSR
0x020A	0x0800      	MOVF       INDF, 0
0x020B	0x00EB      	MOVWF      FARG_Lcd_Chr_CP_out_char
0x020C	0x213E      	CALL       _Lcd_Chr_CP
0x020D	0x0AEA      	INCF       Lcd_Out_i_L0, 1
0x020E	0x2A01      	GOTO       L_Lcd_Out18
L_Lcd_Out19:
;__Lib_Lcd.c,201 :: 		
0x020F	0x1465      	BSF        __Lib_Lcd_cmd_status, BitPos(__Lib_Lcd_cmd_status+0)
;__Lib_Lcd.c,202 :: 		
L_end_Lcd_Out:
0x0210	0x0008      	RETURN
; end of _Lcd_Out
_int2double:
;__Lib_MathDouble.c,1812 :: 		
;__Lib_MathDouble.c,1818 :: 		
0x0211	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,1819 :: 		
0x0212	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,1820 :: 		
0x0213	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,1821 :: 		
0x0214	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,1822 :: 		
0x0215	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,1823 :: 		
0x0216	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1824 :: 		
0x0217	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,1825 :: 		
0x0218	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1826 :: 		
0x0219	0x01F3      	CLRF       R3
;__Lib_MathDouble.c,1829 :: 		
0x021A	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,1830 :: 		
0x021B	0x01FC      	CLRF       R12
;__Lib_MathDouble.c,1832 :: 		
0x021C	0x3096      	MOVLW      150
;__Lib_MathDouble.c,1833 :: 		
0x021D	0x00F3      	MOVWF      R3
;__Lib_MathDouble.c,1834 :: 		
0x021E	0x01FA      	CLRF       R10
;__Lib_MathDouble.c,1835 :: 		
0x021F	0x1FF0      	BTFSS      R0, 7
;__Lib_MathDouble.c,1836 :: 		
0x0220	0x2A27      	GOTO       FLO1632EEE
;__Lib_MathDouble.c,1838 :: 		
0x0221	0x09F8      	COMF       R8, 1
;__Lib_MathDouble.c,1839 :: 		
0x0222	0x09F0      	COMF       R0, 1
;__Lib_MathDouble.c,1841 :: 		
0x0223	0x0AF8      	INCF       R8, 1
;__Lib_MathDouble.c,1842 :: 		
0x0224	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,1843 :: 		
0x0225	0x0AF0      	INCF       R0, 1
;__Lib_MathDouble.c,1845 :: 		
0x0226	0x17FA      	BSF        R10, 7
;__Lib_MathDouble.c,1846 :: 		
FLO1632EEE:
;__Lib_MathDouble.c,1847 :: 		
0x0227	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,1848 :: 		
0x0228	0x00F1      	MOVWF      R1
;__Lib_MathDouble.c,1849 :: 		
0x0229	0x0878      	MOVF       R8, 0
;__Lib_MathDouble.c,1850 :: 		
0x022A	0x00F0      	MOVWF      R0
;__Lib_MathDouble.c,1851 :: 		
0x022B	0x01F8      	CLRF       R8
;__Lib_MathDouble.c,1852 :: 		
0x022C	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,1854 :: 		
0x022D	0x2196      	CALL       _NRM3232
;__Lib_MathDouble.c,1855 :: 		
L_end_int2double:
0x022E	0x0008      	RETURN
; end of _int2double
_ADC_Read:
;__Lib_ADC_A_C.c,68 :: 		
;__Lib_ADC_A_C.c,70 :: 		
0x022F	0x1283      	BCF        STATUS, 5
0x0230	0x1303      	BCF        STATUS, 6
0x0231	0x019F      	CLRF       ADCON0
;__Lib_ADC_A_C.c,71 :: 		
0x0232	0x30C0      	MOVLW      192
0x0233	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,72 :: 		
0x0234	0x095C      	COMF       _vref_mask, 0
0x0235	0x00F0      	MOVWF      R0
0x0236	0x0870      	MOVF       R0, 0
0x0237	0x1683      	BSF        STATUS, 5
0x0238	0x059F      	ANDWF      ADCON1, 1
;__Lib_ADC_A_C.c,73 :: 		
0x0239	0x171F      	BSF        ADCON1, 6
;__Lib_ADC_A_C.c,74 :: 		
0x023A	0x179F      	BSF        ADCON1, 7
;__Lib_ADC_A_C.c,75 :: 		
0x023B	0x1283      	BCF        STATUS, 5
0x023C	0x086D      	MOVF       FARG_ADC_Read_channel, 0
0x023D	0x00F0      	MOVWF      R0
0x023E	0x0DF0      	RLF        R0, 1
0x023F	0x1070      	BCF        R0, 0
0x0240	0x0DF0      	RLF        R0, 1
0x0241	0x1070      	BCF        R0, 0
0x0242	0x0DF0      	RLF        R0, 1
0x0243	0x1070      	BCF        R0, 0
0x0244	0x0870      	MOVF       R0, 0
0x0245	0x049F      	IORWF      ADCON0, 1
;__Lib_ADC_A_C.c,78 :: 		
0x0246	0x141F      	BSF        ADCON0, 0
;__Lib_ADC_A_C.c,81 :: 		
0x0247	0x217E      	CALL       _Delay_22us
;__Lib_ADC_A_C.c,84 :: 		
0x0248	0x151F      	BSF        ADCON0, 2
;__Lib_ADC_A_C.c,87 :: 		
L_ADC_Read2:
0x0249	0x1D1F      	BTFSS      ADCON0, 2
0x024A	0x2A4D      	GOTO       L_ADC_Read3
;__Lib_ADC_A_C.c,88 :: 		
0x024B	0x0000      	NOP
0x024C	0x2A49      	GOTO       L_ADC_Read2
L_ADC_Read3:
;__Lib_ADC_A_C.c,91 :: 		
0x024D	0x101F      	BCF        ADCON0, 0
;__Lib_ADC_A_C.c,94 :: 		
0x024E	0x081E      	MOVF       ADRESH, 0
0x024F	0x00F1      	MOVWF      R0+1
0x0250	0x01F0      	CLRF       R0
0x0251	0x1683      	BSF        STATUS, 5
0x0252	0x081E      	MOVF       ADRESL, 0
0x0253	0x04F0      	IORWF      R0, 1
0x0254	0x3000      	MOVLW      0
0x0255	0x04F1      	IORWF      R0+1, 1
;__Lib_ADC_A_C.c,95 :: 		
L_end_ADC_Read:
0x0256	0x0008      	RETURN
; end of _ADC_Read
_Mul_32x32_FP:
;__Lib_MathDouble.c,610 :: 		
;__Lib_MathDouble.c,622 :: 		
;__Lib_MathDouble.c,624 :: 		
0x0257	0x1283      	BCF        STATUS, 5
;__Lib_MathDouble.c,625 :: 		
0x0258	0x1303      	BCF        STATUS, 6
;__Lib_MathDouble.c,627 :: 		
0x0259	0x01FB      	CLRF       R11
;__Lib_MathDouble.c,628 :: 		
0x025A	0x0873      	MOVF       R3, 0
;__Lib_MathDouble.c,629 :: 		
0x025B	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,630 :: 		
0x025C	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,631 :: 		
0x025D	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,632 :: 		
0x025E	0x2AAE      	GOTO       JPMRES032
;__Lib_MathDouble.c,634 :: 		
0x025F	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,635 :: 		
0x0260	0x0676      	XORWF      R6, 0
;__Lib_MathDouble.c,636 :: 		
0x0261	0x00FA      	MOVWF      R10
;__Lib_MathDouble.c,637 :: 		
0x0262	0x0877      	MOVF       R7, 0
;__Lib_MathDouble.c,638 :: 		
0x0263	0x07F3      	ADDWF      R3, 1
;__Lib_MathDouble.c,639 :: 		
0x0264	0x307E      	MOVLW      126
;__Lib_MathDouble.c,640 :: 		
0x0265	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,641 :: 		
0x0266	0x2A6B      	GOTO       MTUN32
;__Lib_MathDouble.c,642 :: 		
0x0267	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,643 :: 		
0x0268	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,644 :: 		
0x0269	0x2AB1      	GOTO       JPMSETFOV32
;__Lib_MathDouble.c,645 :: 		
0x026A	0x2A6E      	GOTO       MOK32
;__Lib_MathDouble.c,646 :: 		
MTUN32:
;__Lib_MathDouble.c,647 :: 		
0x026B	0x02F3      	SUBWF      R3, 1
;__Lib_MathDouble.c,648 :: 		
0x026C	0x1C03      	BTFSS      STATUS, 0
;__Lib_MathDouble.c,649 :: 		
0x026D	0x2AB4      	GOTO       JPMSETFUN32
;__Lib_MathDouble.c,650 :: 		
MOK32:
;__Lib_MathDouble.c,651 :: 		
0x026E	0x0872      	MOVF       R2, 0
;__Lib_MathDouble.c,652 :: 		
0x026F	0x00F8      	MOVWF      R8
;__Lib_MathDouble.c,653 :: 		
0x0270	0x0871      	MOVF       R1, 0
;__Lib_MathDouble.c,654 :: 		
0x0271	0x00FC      	MOVWF      R12
;__Lib_MathDouble.c,655 :: 		
0x0272	0x0870      	MOVF       R0, 0
;__Lib_MathDouble.c,656 :: 		
0x0273	0x00FD      	MOVWF      R13
;__Lib_MathDouble.c,657 :: 		
0x0274	0x17F8      	BSF        R8, 7
;__Lib_MathDouble.c,658 :: 		
0x0275	0x17F6      	BSF        R6, 7
;__Lib_MathDouble.c,659 :: 		
0x0276	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,660 :: 		
0x0277	0x01F2      	CLRF       R2
;__Lib_MathDouble.c,661 :: 		
0x0278	0x01F1      	CLRF       R1
;__Lib_MathDouble.c,662 :: 		
0x0279	0x01F0      	CLRF       R0
;__Lib_MathDouble.c,663 :: 		
0x027A	0x3018      	MOVLW      24
;__Lib_MathDouble.c,664 :: 		
0x027B	0x00A0      	MOVWF      __math_tempbD
;__Lib_MathDouble.c,665 :: 		
MLOOP32:
;__Lib_MathDouble.c,666 :: 		
0x027C	0x1C7D      	BTFSS      R13, 0
;__Lib_MathDouble.c,667 :: 		
0x027D	0x2A88      	GOTO       MNOADD32
;__Lib_MathDouble.c,669 :: 		
0x027E	0x0874      	MOVF       R4, 0
;__Lib_MathDouble.c,670 :: 		
0x027F	0x07F0      	ADDWF      R0, 1
;__Lib_MathDouble.c,671 :: 		
0x0280	0x0875      	MOVF       R5, 0
;__Lib_MathDouble.c,672 :: 		
0x0281	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,673 :: 		
0x0282	0x0F75      	INCFSZ     R5, 0
;__Lib_MathDouble.c,674 :: 		
0x0283	0x07F1      	ADDWF      R1, 1
;__Lib_MathDouble.c,675 :: 		
0x0284	0x0876      	MOVF       R6, 0
;__Lib_MathDouble.c,676 :: 		
0x0285	0x1803      	BTFSC      STATUS, 0
;__Lib_MathDouble.c,677 :: 		
0x0286	0x0F76      	INCFSZ     R6, 0
;__Lib_MathDouble.c,678 :: 		
0x0287	0x07F2      	ADDWF      R2, 1
;__Lib_MathDouble.c,679 :: 		
MNOADD32:
;__Lib_MathDouble.c,680 :: 		
0x0288	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,681 :: 		
0x0289	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,682 :: 		
0x028A	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,683 :: 		
0x028B	0x0CF8      	RRF        R8, 1
;__Lib_MathDouble.c,684 :: 		
0x028C	0x0CFC      	RRF        R12, 1
;__Lib_MathDouble.c,685 :: 		
0x028D	0x0CFD      	RRF        R13, 1
;__Lib_MathDouble.c,686 :: 		
0x028E	0x1003      	BCF        STATUS, 0
;__Lib_MathDouble.c,687 :: 		
0x028F	0x0BA0      	DECFSZ     __math_tempbD, 1
;__Lib_MathDouble.c,688 :: 		
0x0290	0x2A7C      	GOTO       MLOOP32
;__Lib_MathDouble.c,689 :: 		
0x0291	0x1BF2      	BTFSC      R2, 7
;__Lib_MathDouble.c,690 :: 		
0x0292	0x2A98      	GOTO       MROUND32
;__Lib_MathDouble.c,691 :: 		
0x0293	0x0DF8      	RLF        R8, 1
;__Lib_MathDouble.c,692 :: 		
0x0294	0x0DF0      	RLF        R0, 1
;__Lib_MathDouble.c,693 :: 		
0x0295	0x0DF1      	RLF        R1, 1
;__Lib_MathDouble.c,694 :: 		
0x0296	0x0DF2      	RLF        R2, 1
;__Lib_MathDouble.c,695 :: 		
0x0297	0x03F3      	DECF       R3, 1
;__Lib_MathDouble.c,696 :: 		
MROUND32:
;__Lib_MathDouble.c,697 :: 		
0x0298	0x1B7B      	BTFSC      R11, 6
;__Lib_MathDouble.c,698 :: 		
0x0299	0x1C70      	BTFSS      R0, 0
;__Lib_MathDouble.c,699 :: 		
0x029A	0x2AAA      	GOTO       MUL32OK
;__Lib_MathDouble.c,700 :: 		
0x029B	0x1FF8      	BTFSS      R8, 7
;__Lib_MathDouble.c,701 :: 		
0x029C	0x2AAA      	GOTO       MUL32OK
;__Lib_MathDouble.c,702 :: 		
0x029D	0x0AF0      	INCF       R0, 1
;__Lib_MathDouble.c,703 :: 		
0x029E	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,704 :: 		
0x029F	0x0AF1      	INCF       R1, 1
;__Lib_MathDouble.c,705 :: 		
0x02A0	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,706 :: 		
0x02A1	0x0AF2      	INCF       R2, 1
;__Lib_MathDouble.c,707 :: 		
0x02A2	0x1D03      	BTFSS      STATUS, 2
;__Lib_MathDouble.c,708 :: 		
0x02A3	0x2AAA      	GOTO       MUL32OK
;__Lib_MathDouble.c,709 :: 		
0x02A4	0x0CF2      	RRF        R2, 1
;__Lib_MathDouble.c,710 :: 		
0x02A5	0x0CF1      	RRF        R1, 1
;__Lib_MathDouble.c,711 :: 		
0x02A6	0x0CF0      	RRF        R0, 1
;__Lib_MathDouble.c,712 :: 		
0x02A7	0x0AF3      	INCF       R3, 1
;__Lib_MathDouble.c,713 :: 		
0x02A8	0x1903      	BTFSC      STATUS, 2
;__Lib_MathDouble.c,714 :: 		
0x02A9	0x2AB1      	GOTO       JPMSETFOV32
;__Lib_MathDouble.c,715 :: 		
MUL32OK:
;__Lib_MathDouble.c,716 :: 		
0x02AA	0x1FFA      	BTFSS      R10, 7
;__Lib_MathDouble.c,717 :: 		
0x02AB	0x13F2      	BCF        R2, 7
;__Lib_MathDouble.c,718 :: 		
0x02AC	0x3000      	MOVLW      0
;__Lib_MathDouble.c,720 :: 		
0x02AD	0x2AB6      	GOTO       MUL32EEE
;__Lib_MathDouble.c,721 :: 		
JPMRES032:
;__Lib_MathDouble.c,722 :: 		
0x02AE	0x3001      	MOVLW      1
;__Lib_MathDouble.c,725 :: 		
0x02AF	0x20E0      	CALL       _RES032
;__Lib_MathDouble.c,727 :: 		
0x02B0	0x2AB6      	GOTO       MUL32EEE
;__Lib_MathDouble.c,728 :: 		
JPMSETFOV32:
;__Lib_MathDouble.c,729 :: 		
0x02B1	0x3002      	MOVLW      2
;__Lib_MathDouble.c,732 :: 		
0x02B2	0x2172      	CALL       _SETFOV32
;__Lib_MathDouble.c,734 :: 		
0x02B3	0x2AB6      	GOTO       MUL32EEE
;__Lib_MathDouble.c,735 :: 		
JPMSETFUN32:
;__Lib_MathDouble.c,736 :: 		
0x02B4	0x3004      	MOVLW      4
;__Lib_MathDouble.c,739 :: 		
0x02B5	0x20E7      	CALL       _SETFUN32
;__Lib_MathDouble.c,741 :: 		
MUL32EEE:
;__Lib_MathDouble.c,742 :: 		
0x02B6	0x0000      	NOP
;__Lib_MathDouble.c,749 :: 		
L_end_Mul_32x32_FP:
0x02B7	0x0008      	RETURN
; end of _Mul_32x32_FP
_Div_32x32_FP:
